,Date_reported,Country_code,New_cases,New_deaths
0,2020-01-03,AF,0,0
1,2020-01-04,AF,0,0
2,2020-01-05,AF,0,0
3,2020-01-06,AF,0,0
4,2020-01-07,AF,0,0
5,2020-01-08,AF,0,0
6,2020-01-09,AF,0,0
7,2020-01-10,AF,0,0
8,2020-01-11,AF,0,0
9,2020-01-12,AF,0,0
10,2020-01-13,AF,0,0
11,2020-01-14,AF,0,0
12,2020-01-15,AF,0,0
13,2020-01-16,AF,0,0
14,2020-01-17,AF,0,0
15,2020-01-18,AF,0,0
16,2020-01-19,AF,0,0
17,2020-01-20,AF,0,0
18,2020-01-21,AF,0,0
19,2020-01-22,AF,0,0
20,2020-01-23,AF,0,0
21,2020-01-24,AF,0,0
22,2020-01-25,AF,0,0
23,2020-01-26,AF,0,0
24,2020-01-27,AF,0,0
25,2020-01-28,AF,0,0
26,2020-01-29,AF,0,0
27,2020-01-30,AF,0,0
28,2020-01-31,AF,0,0
29,2020-02-01,AF,0,0
30,2020-02-02,AF,0,0
31,2020-02-03,AF,0,0
32,2020-02-04,AF,0,0
33,2020-02-05,AF,0,0
34,2020-02-06,AF,0,0
35,2020-02-07,AF,0,0
36,2020-02-08,AF,0,0
37,2020-02-09,AF,0,0
38,2020-02-10,AF,0,0
39,2020-02-11,AF,0,0
40,2020-02-12,AF,0,0
41,2020-02-13,AF,0,0
42,2020-02-14,AF,0,0
43,2020-02-15,AF,0,0
44,2020-02-16,AF,0,0
45,2020-02-17,AF,0,0
46,2020-02-18,AF,0,0
47,2020-02-19,AF,0,0
48,2020-02-20,AF,0,0
49,2020-02-21,AF,0,0
50,2020-02-22,AF,0,0
51,2020-02-23,AF,0,0
52,2020-02-24,AF,5,0
53,2020-02-25,AF,0,0
54,2020-02-26,AF,0,0
55,2020-02-27,AF,0,0
56,2020-02-28,AF,0,0
57,2020-02-29,AF,0,0
58,2020-03-01,AF,0,0
59,2020-03-02,AF,0,0
60,2020-03-03,AF,0,0
61,2020-03-04,AF,0,0
62,2020-03-05,AF,0,0
63,2020-03-06,AF,0,0
64,2020-03-07,AF,3,0
65,2020-03-08,AF,0,0
66,2020-03-09,AF,0,0
67,2020-03-10,AF,0,0
68,2020-03-11,AF,3,0
69,2020-03-12,AF,0,0
70,2020-03-13,AF,0,0
71,2020-03-14,AF,3,0
72,2020-03-15,AF,6,0
73,2020-03-16,AF,5,0
74,2020-03-17,AF,-1,0
75,2020-03-18,AF,0,0
76,2020-03-19,AF,0,0
77,2020-03-20,AF,0,0
78,2020-03-21,AF,0,0
79,2020-03-22,AF,10,0
80,2020-03-23,AF,6,1
81,2020-03-24,AF,2,0
82,2020-03-25,AF,32,0
83,2020-03-26,AF,6,1
84,2020-03-27,AF,11,0
85,2020-03-28,AF,15,0
86,2020-03-29,AF,8,2
87,2020-03-30,AF,0,0
88,2020-03-31,AF,52,0
89,2020-04-01,AF,26,0
90,2020-04-02,AF,43,0
91,2020-04-03,AF,34,1
92,2020-04-04,AF,1,0
93,2020-04-05,AF,29,2
94,2020-04-06,AF,38,0
95,2020-04-07,AF,30,4
96,2020-04-08,AF,56,3
97,2020-04-09,AF,21,1
98,2020-04-10,AF,77,0
99,2020-04-11,AF,0,0
